Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course,,,,,,,,,,,
Spring,2015,EDWARD ENGLER,INI,14815,ENTRE INOV TCH,A,Lect,13,16,81%,8.69,4.54,4.54,4.38,4.54,4.46,4.46,4.69,4.46,4.46,,,,,,,,,,,
Spring,2015,ALEXANDER VOLYNKIN,INI,14819,INTRO SW REV-ENG,A,Lect,22,25,88%,16.38,4.77,4.73,4.64,4.41,4.64,4.73,4.91,4.73,4.68,,,,,,,,,,,
Spring,2015,ALEXANDER VOLYNKIN,INI,14819,INTRO SW REV-ENG,SV,Lect,7,7,100%,16.86,5,5,5,4.71,5,5,5,5,5,,,,,,,,,,,
Spring,2015,JEFFREY MATTSON,INI,14822,HOST BASED FORENSICS,A,Lect,22,23,96%,8.82,4.64,4.45,4.64,4.68,4.59,4.64,4.86,4.5,4.59,,,,,,,,,,,
Spring,2015,"LONGO, G. (co-taught)",INI,14832,CYBER FORENSCS CAPSN,A,Lect,8,11,73%,11.75,4.5,4.38,4.63,4.13,4.5,4.5,4.75,4.5,4.25,,,,,,,,,,,
Spring,2015,"HAMMERSTEIN, J. (co-taught)",INI,14832,CYBER FORENSCS CAPSN,A,Lect,8,11,73%,11.86,4.5,4.38,4.63,4.25,4.63,4.63,4.75,4.63,4.25,,,,,,,,,,,
Spring,2015,"FONG, W. (co-taught)",INI,14836,MOBILE GAME DEV,A,Lect,12,25,48%,10.5,4.58,4.5,4.58,4.5,4.5,4.67,4.75,4.58,4.5,,,,,,,,,,,
Spring,2015,"JACKSON, C. (co-taught)",INI,14836,MOBILE GAME DEV,A,Lect,12,25,48%,10.5,4.33,4.5,4.5,4.5,4.42,4.67,4.67,4.5,4.58,,,,,,,,,,,
Spring,2015,"FONG, W. (co-taught)",INI,14836,MOBILE GAME DEV,SV,Lect,30,33,91%,12.33,4.6,4.53,4.47,4.63,4.53,4.53,4.7,4.63,4.6,,,,,,,,,,,
Spring,2015,"JACKSON, C. (co-taught)",INI,14836,MOBILE GAME DEV,SV,Lect,30,33,91%,11.07,4.48,4.38,4.34,4.45,4.41,4.31,4.38,4.38,4.41,,,,,,,,,,,
Spring,2015,WENDY FONG,INI,14839,THE MOBILE ECOSYSTEM,A4,Lect,11,15,73%,6.36,5,4.55,4.55,4.91,4.82,4.64,5,4.73,4.36,,,,,,,,,,,
Spring,2015,WENDY FONG,INI,14839,THE MOBILE ECOSYSTEM,S4,Lect,7,8,88%,11.57,4,3.86,3.71,3.86,4,3.71,4.29,3.86,3.83,,,,,,,,,,,
Spring,2015,PEI ZHANG,INI,14841,MBL & PERVASIVE COMP,SV,Lect,2,3,67%,9.5,4.5,5,4,4.5,5,5,5,4.5,4,,,,,,,,,,,
Spring,2015,"DENNEDY, M. (co-taught)",INI,14843,ST:INTRO PRIVACY ENG,A,Lect,3,3,100%,8,4.67,4,4.33,3.67,4.67,4.67,4.67,4.67,4.67,,,,,,,,,,,
Spring,2015,"FINNERAN, T. (co-taught)",INI,14843,ST:INTRO PRIVACY ENG,A,Lect,3,3,100%,8,4.67,4,4.33,3.67,4.67,4.67,4.67,4.67,4.67,,,,,,,,,,,
Spring,2015,"FOX, J. (co-taught)",INI,14843,ST:INTRO PRIVACY ENG,A,Lect,3,3,100%,8,4.67,4,4.33,3.67,4.67,4.67,4.67,4.67,4.67,,,,,,,,,,,
Spring,2015,ALAN MCGAUGHEY,MEG,24101,FUND OF MECH ENGR,1,Lect,57,115,50%,7.65,4.26,4.26,4.28,3.93,4.26,4.21,4.67,4.11,3.72,,,,,,,,,,,
Spring,2015,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,Lect,5,6,83%,8,4.6,3.8,3.6,4.2,4.4,4.6,4.4,4.4,4.2,,,,,,,,,,,
Spring,2015,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A3,Lect,10,30,33%,2.6,4.2,3.9,4.2,3.7,4.6,4.1,4.6,3.89,3.7,,,,,,,,,,,
Spring,2015,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,B4,Lect,13,29,45%,2.69,4.5,4.54,4.38,4.38,4.54,4.31,4.54,4.31,4.31,,,,,,,,,,,
Spring,2015,JACK BEUTH,MEG,24210,ADD MANF,A3,Lect,16,19,84%,6.13,4.81,4.25,4.69,4.19,4.88,4.75,4.81,4.56,4.56,,,,,,,,,,,
Spring,2015,JACK BEUTH,MEG,24210,ADD MANF,B4,Lect,21,24,88%,4,4.19,4.1,4.24,3.38,4.43,4.14,4.43,4,4.19,,,,,,,,,,,
Spring,2015,SHAWN LITSTER,MEG,24231,FLUID MECHANICS,1,Lect,103,125,82%,8.33,4.43,4.27,4.22,3.91,4.41,4.17,4.69,4.19,4.08,,,,,,,,,,,
Spring,2015,PAUL STEIF,MEG,24262,STRESS ANALYSIS,1,Lect,72,124,58%,9.63,4.61,4.54,4.48,4.04,4.51,4.38,4.49,4.38,4.31,,,,,,,,,,,
Spring,2015,SHI-CHUNE YAO,MEG,24292,ST RENEW ENERGY ENGR,A,Lect,11,17,65%,5.27,4.36,4,4,4,4.45,4.3,4.45,4.2,4,,,,,,,,,,,
Spring,2015,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,A,Lect,5,11,45%,2.6,4.2,4,4.2,4,3.8,4,4,4,3.8,,,,,,,,,,,
Spring,2015,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,B,Lect,10,16,63%,2.9,4.4,4.3,4.3,4.4,4.2,4.4,4.4,4.2,4.1,,,,,,,,,,,
Spring,2015,"RABIN, Y. (co-taught)",MEG,24321,THRML FLDS EXPRM DES,1,Lect,70,112,63%,12.64,3.63,3.26,3.37,3.31,3.31,3.21,3.53,3.24,3.19,,,,,,,,,,,
Spring,2015,"SHEN, S. (co-taught)",MEG,24321,THRML FLDS EXPRM DES,1,Lect,70,112,63%,12.72,4.18,3.85,3.94,3.93,3.9,3.9,4.26,3.99,3.51,,,,,,,,,,,
Spring,2015,GLENN JARVIS,MEG,24341,MANUFACTUR SCIENCES,T,Lect,15,28,54%,4.2,4.27,3.93,4.13,3.8,4.07,4.2,4.6,4,3.8,,,,,,,,,,,
Spring,2015,BURAK OZDOGANLAR,MEG,24352,DYNMC SYS & CONTROL,A,Lect,104,106,98%,9.7,4.09,3.86,3.83,3.34,4.01,4.01,4.23,4.01,3.72,,,,,,,,,,,
Spring,2015,PHILIP LEDUC,MEG,24358,SP TPC: CULNY MECHNC,A,Lect,9,22,41%,5.33,4.67,4.56,4.67,4.11,4.33,4.56,4.78,4.56,4.56,,,,,,,,,,,
Spring,2015,STEVE COLLINS,MEG,24370,ENGINEERING DESIGN I,1,Lect,71,96,74%,12.93,4.16,3.87,4,3.83,4.17,3.77,3.09,3.72,3.75,,,,,,,,,,,
Spring,2015,ALBERT PRESTO,MEG,24425,CMBSTN AIR POLL CTRL,A,Lect,1,3,33%,5,3,4,4,4,3,3,5,3,3,,,,,,,,,,,
Spring,2015,NOE VARGAS HERNANDEZ,MEG,24441,ENGINEERING DSIGN II,A,Lect,22,45,49%,9.27,4.14,2.81,2.9,2.9,3.1,2.67,4.33,2.76,2.57,,,,,,,,,,,
Spring,2015,LEVENT KARA,MEG,24441,ENGINEERING DSIGN II,B,Lect,25,34,74%,15.96,4.68,4.58,4.63,4.79,4.7,4.5,4.63,4.54,4.5,,,,,,,,,,,
Spring,2015,KEITH COOK,MEG,24612,CARDIO MECH,1,Lect,1,5,20%,11,5,5,5,5,5,5,5,5,4,,,,,,,,,,,
Spring,2015,KEITH COOK,MEG,24612,CARDIO MECH,A,Lect,1,5,20%,11,5,4,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2015,SATBIR SINGH,MEG,24618,COMP TRNSPT PHENOM,A,Lect,14,16,88%,13.93,4.36,4.43,4.36,4.5,4.43,4.38,4.64,4.43,4.43,,,,,,,,,,,
Spring,2015,JONATHAN MALEN,MEG,24628,ENG TRNSP CONV NANSC,A,Lect,10,11,91%,9.5,4.9,4.9,4.8,4.8,4.9,5,5,4.9,4.9,,,,,,,,,,,
Spring,2015,MAARTEN DE BOER,MEG,24651,SPC TPC MAT SLC ENGR,A,Lect,34,48,71%,9.94,4.24,4,4.33,3.94,4.24,4.21,4.33,3.85,4.09,,,,,,,,,,,
Spring,2015,KRIS DAHL,MEG,24657,MOLECULAR BIOMCHCS,A,Lect,3,6,50%,7,5,5,4.67,4.33,4.67,5,5,5,4.67,,,,,,,,,,,
Spring,2015,YONGJIE ZHANG,MEG,24658,CMPTNL BIO-MDL VISLN,A,Lect,14,16,88%,6.71,4.79,4.79,4.71,4.64,4.79,4.71,4.79,4.64,4.71,,,,,,,,,,,
Spring,2015,MEHRDAD MASSOUDI,MEG,24659,CNTM BIOMC,A,Lect,4,6,67%,11,5,4.75,4.75,4,4.25,4.25,4.75,4.25,4,,,,,,,,,,,
Spring,2015,CARMEL MAJIDI,MEG,24673,SF RB MC DS MD,A,Lect,24,35,69%,10.21,4.5,4.58,4.46,4.54,4.67,4.54,4.71,4.54,4.43,,,,,,,,,,,
Spring,2015,"MICHALEK, J. (co-taught)",MEG,24680,QUAN ENTPR TECH COMM,A,Lect,10,13,77%,12.2,4.5,4.5,4.7,4.8,4.78,4.67,4.8,4.6,4.5,,,,,,,,,,,
Spring,2015,"FUCHS, E. (co-taught)",MEG,24680,QUAN ENTPR TECH COMM,A,Lect,10,13,77%,13.4,4.5,4.4,4.4,4.6,4.5,4.7,4.8,4.4,4.5,,,,,,,,,,,
Spring,2015,KENJI SHIMADA,MEG,24681,COMP AID DESIGN,A,Lect,36,38,95%,9.08,4.61,4.56,4.42,4.33,4.69,4.61,4.86,4.47,4.5,,,,,,,,,,,
Spring,2015,"ANDERSON, E. (co-taught)",MEG,24684,INEGTD PRDT DEVLPMNT,A,Lect,27,41,66%,15.44,4.11,3.37,3.7,3.78,3.7,3.7,4.15,3.52,3.56,,,,,,,,,,,
Spring,2015,"CAGAN, J. (co-taught)",MEG,24684,INEGTD PRDT DEVLPMNT,A,Lect,27,41,66%,15.3,3.81,3.81,3.89,3.74,3.78,3.81,4.07,3.74,3.67,,,,,,,,,,,
Spring,2015,"BOATWRIGHT, P. (co-taught)",MEG,24684,INEGTD PRDT DEVLPMNT,A,Lect,27,41,66%,15.23,3.96,3.78,3.89,3.96,3.93,4,4.26,3.89,3.63,,,,,,,,,,,
Spring,2015,NOE VARGAS HERNANDEZ,MEG,24689,SP TPC: GLB SST DSGN,A,Lect,10,14,71%,7.1,3.6,2.6,2.7,3,3.1,2.6,4.3,2.7,2.5,,,,,,,,,,,
Spring,2015,SATBIR SINGH,MEG,24703,NUML MTHS IN ENGING,A,Lect,18,23,78%,12.22,3.94,4.06,3.94,3.88,3.94,3.88,4.47,3.82,3.82,,,,,,,,,,,
Spring,2015,C HIGGS,MEG,24718,COMPUTNL FLUID DYNM,A,Lect,27,28,96%,12.27,4.41,4.48,4.56,4.19,4.7,4.74,4.7,4.59,4.58,,,,,,,,,,,
Spring,2015,YOED RABIN,MEG,24731,CONDUCTV HEAT TRANFR,A3,Lect,5,5,100%,11,4.6,4.2,4.4,3.8,4.6,4.6,5,4.6,4.6,,,,,,,,,,,
Spring,2015,YOED RABIN,MEG,24733,RADIATV HEAT TRNSFR,A4,Lect,5,7,71%,14,4.8,4.2,4.4,4.2,4.6,4.4,5,4.6,4.2,,,,,,,,,,,
Spring,2015,ALBERT PRESTO,MEG,24740,CMB AIR POLLUTN CNTR,A,Lect,11,19,58%,8.55,4.09,4,4,3.91,4.27,4,4.36,4.09,4.18,,,,,,,,,,,
Spring,2015,JACOBO BIELAK,MEG,24755,FNTE ELMT MTHD MEC I,A,Lect,21,28,75%,16.26,4.81,4.86,4.85,4.71,4.71,4.62,4.9,4.57,4.62,,,,,,,,,,,
Spring,2015,KOUSHIL SREENATH,MEG,24776,NON LINEAR CONTROL,A,Lect,24,24,100%,12.17,4.79,4.79,4.75,4.5,4.75,4.67,4.83,4.58,4.54,,,,,,,,,,,
Spring,2015,"NEUMAN, C. (co-taught)",MEG,24778,MECHATRONIC DESIGN,1,Lect,21,26,81%,19.94,3.94,3.94,4.06,4,4.06,4.06,4.06,4.06,4.13,,,,,,,,,,,
Spring,2015,"DOLAN, J. (co-taught)",MEG,24778,MECHATRONIC DESIGN,1,Lect,21,26,81%,18.71,4.38,4.52,4.38,4.62,4.43,4.15,4.71,4.43,4.48,,,,,,,,,,,
Spring,2015,DARAGH BYRNE,MEG,24884,SPC TPC:DESN INT,A3,Lect,25,41,61%,15.4,4.33,4.08,4.2,4.12,4.48,4,4.68,4.16,3.84,,,,,,,,,,,
Spring,2015,SHERYL ROOT,MEG,24885,SPC TPC: LDR CHALNGE,A4,Lect,27,41,66%,7.78,3.96,3.22,3.44,4.3,3.93,3.7,4.19,3.48,3.15,,,,,,,,,,,
Spring,2015,SHERYL ROOT,MEG,24885,SPC TPC: LDR CHALNGE,B4,Lect,9,10,90%,12,4.67,4.56,4.56,4.56,4.56,4.67,4.67,4.56,4.56,,,,,,,,,,,
Spring,2015,MICHAEL BOCKSTALLER,MSE,27100,ENG MATERLS OF FUTRE,1,Lect,44,85,52%,6.3,4.07,4.09,4.18,4.02,4.16,4.16,4.68,4.02,4,,,,,,,,,,,
Spring,2015,PAUL SALVADOR,MSE,27202,DEFECTS IN MATLS,A,Lect,26,38,68%,9.62,4.04,3.85,4,3.62,4.15,3.73,4.08,3.85,3.73,,,,,,,,,,,
Spring,2015,"HEARD, R. (co-taught)",MSE,27205,MATERIALS CHARACTZTN,A,Lect,22,35,63%,2.82,4.14,4.27,4.32,3.59,4.41,4.18,4.36,4.09,3.86,,,,,,,,,,,
Spring,2015,"PICARD, Y. (co-taught)",MSE,27205,MATERIALS CHARACTZTN,A,Lect,22,35,63%,3.14,3.86,4.09,4.05,3.73,4.32,4.09,4.14,3.91,3.73,,,,,,,,,,,
Spring,2015,ELIZABETH HOLM,MSE,27216,TRANSPRT IN MATERIAL,A,Lect,24,32,75%,9.13,4.96,4.71,4.71,4.71,4.88,4.83,5,4.79,4.71,,,,,,,,,,,
Spring,2015,VINCENT SOKALSKI,MSE,27217,PHASE RELTNS & DIAGM,1,Lect,21,33,64%,9.19,3.81,4.1,4.24,3.52,4.05,4,4.52,3.95,3.86,,,,,,,,,,,
Spring,2015,ANTHONY ROLLETT,MSE,27357,INTRO TO MATLS SELEC,A3,Lect,15,40,38%,9.07,4.07,3.8,3.73,3.27,4,3.6,4.13,3.6,3.33,,,,,,,,,,,
Spring,2015,ROBERT HEARD,MSE,27367,SELECT PERFRMC MATRL,A,Lect,26,45,58%,7.54,3.58,2.73,3.12,2.65,4.12,2.65,4.08,2.81,2.69,,,,,,,,,,,
Spring,2015,MICHAEL MCHENRY,MSE,27445,MAGNETIC MATERIALS,A,Lect,5,8,63%,11.6,4.6,4.4,4.6,4.4,4.4,4.6,4.6,4,4,,,,,,,,,,,
Spring,2015,MICHAEL MCHENRY,MSE,27445,MAGNETIC MATERIALS,B,Lect,2,2,100%,12.5,3.5,3.5,3.5,3,3,3.5,3.5,3.5,3,,,,,,,,,,,
Spring,2015,BRYAN WEBLER,MSE,27519,COMP THERMO,A,Lect,2,4,50%,8,5,4,4.5,4,5,4.5,5,5,4.5,,,,,,,,,,,
Spring,2015,ADAM FEINBERG,MSE,27520,TISSUE ENGR,A,Lect,3,4,75%,8,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,,,,,,,,,,,
Spring,2015,LISA PORTER,MSE,27542,PROC & PROP THIN FLM,A,Lect,8,14,57%,7.63,4.38,4.63,4.5,4.25,4.25,4.13,4.63,4.5,4.5,,,,,,,,,,,
Spring,2015,MOHAMMAD ISLAM,MSE,27565,NANOSTRUCTRD MATRLS,A,Lect,13,15,87%,10.85,4.23,4.23,4.23,3.69,4.31,3.77,3.85,3.92,4,,,,,,,,,,,
Spring,2015,CHRISTOPHER BETTINGER,MSE,27570,MLC MC-SC PL BIO MED,A,Lect,8,16,50%,9.13,4.88,4.88,4.88,4.88,5,4.75,4.88,4.75,4.75,,,,,,,,,,,
Spring,2015,PETRUS PISTORIUS,MSE,27592,SOLIDIFICATION PROC,A,Lect,2,8,25%,9.5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2015,MOHAMMAD ISLAM,MSE,27705,NANOSTRUCD MATERIALS,A,Lect,11,13,85%,8.82,4,4.09,4.09,3.82,4.36,4.18,3.82,3.91,3.73,,,,,,,,,,,
Spring,2015,BRYAN WEBLER,MSE,27719,COMP THERMO,A,Lect,14,15,93%,11.14,4.71,4.5,4.43,4.36,4.5,4.21,4.93,4.21,4.08,,,,,,,,,,,
Spring,2015,ANTHONY ROLLETT,MSE,27725,MATRL NUCLR ENGY SYS,A4,Lect,10,19,53%,9.33,4.6,4.2,4.7,4.2,4.8,4.4,5,4.8,4.5,,,,,,,,,,,
Spring,2015,ROBERT DAVIS,MSE,27742,PROC & PROP THIN FLM,A,Lect,4,6,67%,12.75,4,3.5,3.75,3.25,4,3.5,4,3.5,3.75,,,,,,,,,,,
Spring,2015,ELIAS TOWE,MSE,27752,FND SEMICOND NANOSTR,A,Lect,4,9,44%,14.75,3.75,4.25,4.5,2.75,4.25,3.5,4.5,3.25,3.25,,,,,,,,,,,
Spring,2015,MARC DEGRAEF,MSE,27763,ELECTRON OPTICS,A,Lect,9,15,60%,10.67,4.78,4.78,4.67,4.44,4.78,4.63,4.75,4.63,4.63,,,,,,,,,,,
Spring,2015,DAVID LAUGHLIN,MSE,27769,SP: PROP FERROIC MTL,A4,Lect,11,16,69%,9.36,4.64,4.55,4.73,4.36,4.73,4.55,4.82,4.64,4.64,,,,,,,,,,,
Spring,2015,DAVID LAUGHLIN,MSE,27769,SP: PROP FERROIC MTL,B4,Lect,2,2,100%,12.5,5,5,5,5,4.5,5,5,5,5,,,,,,,,,,,
Spring,2015,PAUL OHODNICKI,MSE,27771,MATLS DVC ENERGY APP,A,Lect,2,7,29%,14,4.5,4.5,4.5,3.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,
Spring,2015,WARREN GARRISON,MSE,27791,MECH BEHAV OF MATLS,A,Lect,19,25,76%,11.58,4.42,4.32,4.42,4.11,4.42,4.32,4.63,4,4.16,,,,,,,,,,,
Spring,2015,PETRUS PISTORIUS,MSE,27792,SOLIDIFICATION PROC,A,Lect,21,23,91%,10.05,4.81,4.9,4.81,4.43,4.9,4.9,5,4.86,4.67,,,,,,,,,,,
Spring,2015,GLADYS MERCIER,SV,96709,AVDG SW PROJ FAILURE,A3,Lect,5,7,71%,18,4.8,4.6,4.8,4.6,4.6,4.6,4.6,4.8,4.4,,,,,,,,,,,
Spring,2015,JIA ZHANG,SV,96710,SFTWR ENGNG PRCTCM,A,Lect,4,9,44%,14.25,4.5,4,4.75,4.75,4.5,4.5,5,4.25,4,,,,,,,,,,,
Spring,2015,OLE MENGSHOEL,SV,96777,DATA ANALYT,B4,Lect,38,48,79%,12.51,3.08,3.11,3.03,3.21,3.24,3.11,4.42,3.16,3,,,,,,,,,,,
Spring,2015,OLE MENGSHOEL,SV,96777,DATA ANALYT,R4,Lect,2,3,67%,14,3.5,3,2,2,3,3.5,4,2.5,3,,,,,,,,,,,
Spring,2015,Cecile Peraire,SV,96782,PROCESS PROJECT MGMT,A3,Lect,26,30,87%,12.08,4.54,4.04,3.96,4.46,4.19,4.12,4.58,4.08,3.85,,,,,,,,,,,
Spring,2015,SHERYL ROOT,SV,96782,PROCESS PROJECT MGMT,B3,Lect,18,24,75%,18,4.39,4.06,4.06,4.22,4.11,4.22,4.5,4.17,4.06,,,,,,,,,,,
Spring,2015,SHERYL ROOT,SV,96782,PROCESS PROJECT MGMT,R3,Lect,3,5,60%,16.33,5,4.67,4.67,4.33,4.33,4.67,5,4.67,4.67,,,,,,,,,,,
Spring,2015,ANTHONY WASSERMAN,SV,96790,SFTWR PRODUCT STRAT,A3,Lect,17,18,94%,14.65,4.24,4.12,4.18,4.53,4.35,4.18,4.53,4.24,4,,,,,,,,,,,
Spring,2015,ANTHONY WASSERMAN,SV,96790,SFTWR PRODUCT STRAT,B3,Lect,10,12,83%,14.5,4.2,3.8,3.7,4,4.2,4.2,4.7,4,4.2,,,,,,,,,,,
Spring,2015,RAVI THOMAS,SV,96791,BUSINESS OF SOFTWARE,A4,Lect,18,22,82%,13.28,4.11,4.17,4.11,3.89,4.28,4.28,4.5,4.06,4,,,,,,,,,,,
Spring,2015,RAVI THOMAS,SV,96791,BUSINESS OF SOFTWARE,B4,Lect,10,10,100%,11.44,4.1,4.2,4.3,3.7,4.44,4.7,4.7,4.5,3.9,,,,,,,,,,,
Spring,2015,RAVI THOMAS,SV,96791,BUSINESS OF SOFTWARE,R4,Lect,2,2,100%,12.5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2015,PAOLO MALABUYO,SV,96796,HUMAN-COMP INTERACT,A4,Lect,25,28,89%,10.76,4.6,4.68,4.64,4.76,4.68,4.56,4.64,4.68,4.64,,,,,,,,,,,
Spring,2015,PAOLO MALABUYO,SV,96796,HUMAN-COMP INTERACT,B4,Lect,19,24,79%,13.37,4.79,4.63,4.74,4.58,4.74,4.74,4.63,4.68,4.68,,,,,,,,,,,
Spring,2015,PAOLO MALABUYO,SV,96796,HUMAN-COMP INTERACT,R4,Lect,3,5,60%,12,4,4,3.67,4.33,3.33,3.33,4.33,4,4,,,,,,,,,,,
Spring,2015,JOHN EVANS,SV,96809,ENTERPRISE INNOV,A,Lect,34,42,81%,10.65,4.76,4.56,4.7,4.71,4.82,4.71,4.94,4.79,4.74,,,,,,,,,,,
Spring,2015,JOHN EVANS,SV,96809,ENTERPRISE INNOV,B,Lect,22,28,79%,7.29,4.5,3.59,3.64,4.05,4.23,3.9,4.68,4.05,3.64,,,,,,,,,,,
Fall,2015,STEVEN CHASE,BMD,42101,INTRODUCTION BIOMED,A,Lect,37,54,69%,8.58,4.27,4.14,4.32,3.54,4.43,3.97,4.51,4.08,3.97,,,,,,,,,,,
Fall,2015,ITZHAQ COHEN-KARNI,BMD,42201,PRO ISSUES IN BIOMED,A,Lect,13,17,76%,2.92,4.08,3.54,3.85,3.62,4.23,4.15,4,3.69,3.69,,,,,,,,,,,
Fall,2015,PHIL CAMPBELL,BMD,42202,PHYSIOLOGY,A,Lect,44,65,68%,8.72,4.52,4.66,4.61,4.43,4.6,4.57,4.77,4.57,4.51,,,,,,,,,,,
Fall,2015,CONRAD ZAPANTA,BMD,42203,BIOMED ENG LAB,A,Lect,9,14,64%,12.44,4.67,4.75,4.75,4,4.75,4.5,4.88,4.88,4.38,,,,,,,,,,,
Fall,2015,CONRAD ZAPANTA,BMD,42203,BIOMED ENG LAB,B,Lect,14,18,78%,9.5,4.86,4.36,4.43,4.21,4.5,4.71,5,4.79,4.43,,,,,,,,,,,
Fall,2015,KEITH COOK,BMD,42341,INTRO BIOMECHANICS,A,Lect,7,7,100%,9.29,4.57,4,4.67,4.67,4.5,4.67,4.83,4.17,4.17,,,,,,,,,,,
Fall,2015,CONRAD ZAPANTA,BMD,42401,FNDTN OF BME DESIGN,A,Lect,21,48,44%,5.86,4.76,4.43,4.67,4.57,4.67,4.52,4.81,4.62,4.52,,,,,,,,,,,
Fall,2015,CHRISTOPHER BETTINGER,BMD,42411,ENGINEERING BIOMTRLS,A,Lect,1,7,14%,11,5,5,3,4,5,3,5,3,4,,,,,,,,,,,
Fall,2015,GUSTAVO ROHDE,BMD,42431,INT BIO IMG & IM ANA,A,Lect,11,13,85%,13.36,4.45,4.45,4.45,4.09,4.45,4.18,4.55,4.09,4.09,,,,,,,,,,,
Fall,2015,BOYLE CHENG,BMD,42444,MEDICAL DEVICES,A,Lect,5,9,56%,7.4,4.2,4.4,4.4,4.4,4.4,4.4,4.2,4.2,4.2,,,,,,,,,,,
Fall,2015,EDMUND LOPRESTI,BMD,42447,REHABTATN ENGINEERG,A,Lect,5,11,45%,9.2,3.6,3.8,4,3.6,4,3.6,4.4,3.6,3.6,,,,,,,,,,,
Fall,2015,CHRISTOPHER BETTINGER,BMD,42611,ENGINEERING BIOMTERL,A,Lect,20,26,77%,12.95,4.35,4.35,4.25,3.6,4.35,4,4.6,4.1,4.1,,,,,,,,,,,
Fall,2015,GE YANG,BMD,42620,ENG MLC CELL BIOLOGY,A,Lect,19,25,76%,11.05,4.21,3.89,4,3.72,4.37,4.11,4.42,3.78,3.89,,,,,,,,,,,
Fall,2015,STEVEN CHASE,BMD,42631,NEURAL DATA ANALYSIS,A,Lect,11,12,92%,13.09,4.73,4.91,4.82,4.27,4.91,4.73,4.82,4.73,4.7,,,,,,,,,,,
Fall,2015,PHILIP LEDUC,BMD,42645,CELLULAR BIOMECHNICS,A,Lect,11,19,58%,6.36,4.73,4.45,4.45,4.09,4.64,4.18,4.73,4.27,4.18,,,,,,,,,,,
Fall,2015,ADAM FEINBERG,BMD,42698,SPECIAL TOPICS,B,Lect,32,47,68%,8.38,4,4.23,4.23,4.03,4.39,4.35,4.48,4.19,4.19,,,,,,,,,,,
Fall,2015,TODD PRZYBYCIEN,BMD,42698,SPECIAL TOPICS,H,Lect,4,6,67%,10.25,4,3.5,4,3.25,4,3.5,4.5,3.5,3,,,,,,,,,,,
Fall,2015,JAMES ANTAKI,BMD,42699,SPECIAL TOPICS,L,Lect,10,20,50%,8.6,4.8,4.5,4.5,4.9,4.5,4.9,4.9,4.7,4.5,,,,,,,,,,,
Fall,2015,ITZHAQ COHEN-KARNI,BMD,42699,SPECIAL TOPICS,N,Lect,2,2,100%,8,4.5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2015,JANA MARIA KAINERSTORFER,BMD,42699,SPECIAL TOPICS,P,Lect,9,10,90%,11,4.44,4.11,4.75,4.67,4.67,4.44,4.78,4.33,4.11,,,,,,,,,,,
Fall,2015,BOYLE CHENG,BMD,42744,MEDICAL DEVICES,A,Lect,14,20,70%,9.36,4.21,3.93,4.07,3.86,4.29,4,4.14,4,4.14,,,,,,,,,,,
Fall,2015,DENNIS TRUMBLE,BMD,42790,PRACTICUM BIOMED ENG,A,Lect,7,9,78%,13.14,4.43,4.29,4.14,4.14,4.29,4.43,4.57,4.43,4.43,,,,,,,,,,,
Fall,2015,CONSTANTINOS SAMARAS,CEE,12100,INTRO CIV & ENV ENG,A,Lect,50,66,76%,5.9,4.45,4.43,4.41,4.2,4.53,4.43,4.63,4.2,4.16,,,,,,,,,,,
Fall,2015,ALAN JACOBS,CEE,12201,GEOLOGY,A,Lect,22,38,58%,6.23,4.36,4.27,4.27,4.23,4.45,4.45,4.82,4.18,4.18,,,,,,,,,,,
Fall,2015,HAE YOUNG NOH,CEE,12212,STATICS,A,Lect,39,39,100%,7.31,3.92,4.05,4.05,3.67,3.95,3.95,4.28,3.77,3.62,,,,,,,,,,,
Fall,2015,ANDREA FRANCIONI ROONEY,CEE,12215,INTR PRF WRTG IN CEE,A,Lect,7,11,64%,3.29,4.86,4.86,4.71,4.86,4.86,4.71,4.86,4.86,4.86,,,,,,,,,,,
Fall,2015,"COFFELT, D. (co-taught)",CEE,12301,CIVIL ENVMTL ENG PRJ,A,Lect,18,24,75%,9.33,3.89,3.33,3.28,3.28,3.67,3.33,4.17,3.59,2.94,,,,,,,,,,,
Fall,2015,"FINGER, S. (co-taught)",CEE,12301,CIVIL ENVMTL ENG PRJ,A,Lect,18,24,75%,9,4.11,3,2.94,3.06,3.61,3.28,4.06,3.44,3,,,,,,,,,,,
